,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bin, orig, train)",0.7300452087333902,0.6604764406363286,0.6420078076130066,185.72361493110657,26326,1120
1,"(bin, bin, train)",0.7074711040776115,0.6658431868138979,0.6453638772715691,95.45972084999084,26326,606
2,"(bin, orig, val)",0.6371104977364361,0.6540502640368066,0.5835480618012412,51.66341495513916,26326,394
3,"(bin, bin, val)",0.693943581274764,0.6718123862843177,0.6439151384211323,32.29126477241516,26326,583
4,"(bin, orig, train+val)",0.7233956143729772,0.684619350977249,0.6439746278101541,143.76228976249695,26326,1121
5,"(bin, bin, train+val)",0.7074895361084879,0.668532148605161,0.6464716061218797,91.50241422653198,26326,579
6,FTTransformer,0.9059521843891614,0.807429079974323,0.8122637628168341,-1.0,-1,-1
7,FTTransformer bin,0.7399257987627631,0.6852281789135137,0.6674403679751402,-1.0,-1,-1
