,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.8163539395514002,0.8078346836958175,0.7931524322387493,135.30253219604492,2325,777
1,"(bit, bit, train)",0.9783453204524957,0.9759702724662391,0.9750527601095315,66.14517998695374,2325,498
2,"(bit, orig, val)",0.739616581616567,0.797905903066249,0.7436399126673576,21.073495864868164,2325,269
3,"(bit, bit, val)",0.9682074943049147,0.9837568732297939,0.9714978349014172,8.53609013557434,2325,479
4,"(bit, orig, train+val)",0.8121933308922851,0.8274467469594746,0.795436202530479,117.16465473175049,2325,713
5,"(bit, bit, train+val)",0.9775864761120954,0.9789756372078853,0.9756945296645445,43.69247126579285,2325,505
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
