,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.8818990759077576,0.7817445296950056,0.785782565817649,266.6689157485962,5489,1396
1,"(bit, bit, train)",0.971287335829675,0.9540256309529993,0.9564935467197853,113.82548141479492,5489,758
2,"(bit, orig, val)",0.7692220490002875,0.8606590892776838,0.8084076598471144,39.150607109069824,5489,438
3,"(bit, bit, val)",0.9225459851210017,0.9805729819715074,0.9547703794842186,19.75481629371643,5489,766
4,"(bit, orig, train+val)",0.8764207793619081,0.8775587659067171,0.8337156628608255,486.5324327945709,5489,1435
5,"(bit, bit, train+val)",0.9702204461665624,0.9707555946011192,0.9640986451574187,189.25470614433289,5489,846
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
