,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7294974400257828,0.6685567136071185,0.6715130532836644,303.0395429134369,5489,1421
1,"(bit, bit, train)",0.7385734298279292,0.7089847152992972,0.7086672294755523,120.59234857559204,5489,735
2,"(bit, orig, val)",0.6075254287534586,0.6729642040471839,0.6084428283356256,37.85892391204834,5489,370
3,"(bit, bit, val)",0.7091637710985695,0.7146142851176613,0.6812418154390545,12.41636872291565,5489,599
4,"(bit, orig, train+val)",0.7218403948526564,0.7010315784494889,0.6816078294424832,415.4982843399048,5489,1344
5,"(bit, bit, train+val)",0.7372384591414113,0.7128533457174155,0.7073786560204658,182.05069255828857,5489,726
6,FTTransformer,0.878543927857119,0.806634017328566,0.8165862316017122,-1.0,-1,-1
7,FTTransformer bit,0.7927617058783857,0.7284313524915049,0.7332912521738462,-1.0,-1,-1
