,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7675871362034874,0.6906224724705256,0.6648358231351607,395.9706976413727,5489,1532
1,"(bit, bit, train)",0.7304279896220609,0.6923496504210189,0.6692330170802233,107.20573282241821,5489,645
2,"(bit, orig, val)",0.6805509561574834,0.7237113448430009,0.6394688376268887,42.68235397338867,5489,440
3,"(bit, bit, val)",0.6977923883107695,0.709445640933962,0.6595385417109154,15.4613938331604,5489,666
4,"(bit, orig, train+val)",0.7620364293762799,0.7373328069124376,0.6817834206888987,371.6111578941345,5489,1527
5,"(bit, bit, train+val)",0.7288602379202547,0.7051050416239342,0.6748400791013642,164.07557725906372,5489,652
6,FTTransformer,0.9146318986504008,0.821157274279336,0.813738146804445,-1.0,-1,-1
7,FTTransformer bit,0.7679475993076578,0.7275773313986131,0.707396305410448,-1.0,-1,-1
