,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7938323201137102,0.7796143965220629,0.7687559986857644,213.38689970970154,2325,832
1,"(bit, bit, train)",0.9707739666210028,0.9681670836971122,0.9628675310519689,66.26128578186035,2325,593
2,"(bit, orig, val)",0.7190985781079438,0.7966402273695566,0.7337678063249534,33.62374472618103,2325,285
3,"(bit, bit, val)",0.9483458591257359,0.9804529182884804,0.9562894071835515,21.73025417327881,2325,549
4,"(bit, orig, train+val)",0.7902084758428585,0.8128273803283093,0.7827419047497182,93.46829891204834,2325,780
5,"(bit, bit, train+val)",0.970046055339338,0.9742628229749719,0.965261197910895,48.90129804611206,2325,593
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
