,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.6918460647755016,0.643337048577719,0.622625522447421,213.38689970970154,2325,832
1,"(bit, bit, train)",0.679138102297138,0.6495776521362738,0.6215377940965094,66.26128578186035,2325,593
2,"(bit, orig, val)",0.6209073761856793,0.6576986020598024,0.5897531849119517,33.62374472618103,2325,285
3,"(bit, bit, val)",0.6370918675168876,0.6493673944093596,0.605618405064545,21.73025417327881,2325,549
4,"(bit, orig, train+val)",0.6888831195822862,0.6737305313643875,0.6377698836683283,93.46829891204834,2325,780
5,"(bit, bit, train+val)",0.6773064009320638,0.6499834197491783,0.6189272455889503,48.90129804611206,2325,593
6,FTTransformer,0.9146318986504008,0.821157274279336,0.813738146804445,-1.0,-1,-1
7,FTTransformer bit,0.7361293090335266,0.6666315223636226,0.6447475957676849,-1.0,-1,-1
