,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bin, orig, train)",0.8685182626735799,0.8468805743207607,0.8358829886895064,152.8218982219696,27727,1092
1,"(bin, bin, train)",0.9754859427430675,0.9785131427537087,0.9747067453116135,96.85353660583496,27727,662
2,"(bin, orig, val)",0.7943162831252495,0.8447801969590772,0.7836550368508283,31.821457862854004,27727,315
3,"(bin, bin, val)",0.9588633596338906,0.9849739376522925,0.9622298256772629,24.55845880508423,27727,554
4,"(bin, orig, train+val)",0.8633134553827642,0.8706437115157015,0.8367431669424645,103.81701731681824,27727,1072
5,"(bin, bin, train+val)",0.9742755840818005,0.9819726202202269,0.9746741603019621,79.09491515159607,27727,663
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bin,1.0,1.0,1.0,-1.0,-1,-1
