,save_dir,teacher_path,train_path,test_path,task_type,student_name,n_trees_list,n_rules_list,n_depth_list,min_impurity_decrease_list,max_rules,max_trees,max_depth,metric,num_interactions_intervention,gpu,use_cache,save_dir_unique,student_distillation_train_accuracy,student_distillation_test_accuracy,student_prediction_train_accuracy,student_prediction_test_accuracy,teacher_prediction_train_accuracy,teacher_prediction_test_accuracy,n_trees,n_rules,depth,student_distill_adap_interv_iter0_test_accuracy,student_distill_rand_interv_iter0_test_accuracy,student_pred_adap_interv_iter0_test_accuracy,student_pred_rand_interv_iter0_test_accuracy,teacher_pred_adap_interv_iter0_test_accuracy,teacher_pred_rand_interv_iter0_test_accuracy,student_distill_adap_interv_iter1_test_accuracy,student_distill_rand_interv_iter1_test_accuracy,student_pred_adap_interv_iter1_test_accuracy,student_pred_rand_interv_iter1_test_accuracy,teacher_pred_adap_interv_iter1_test_accuracy,teacher_pred_rand_interv_iter1_test_accuracy,student_distill_adap_interv_iter2_test_accuracy,student_distill_rand_interv_iter2_test_accuracy,student_pred_adap_interv_iter2_test_accuracy,student_pred_rand_interv_iter2_test_accuracy,teacher_pred_adap_interv_iter2_test_accuracy,teacher_pred_rand_interv_iter2_test_accuracy,student_distill_lin_interv_iter0_test_accuracy,student_pred_lin_interv_iter0_test_accuracy,teacher_pred_lin_interv_iter0_test_accuracy,student_distill_lin_interv_iter1_test_accuracy,student_pred_lin_interv_iter1_test_accuracy,teacher_pred_lin_interv_iter1_test_accuracy,student_distill_lin_interv_iter2_test_accuracy,student_pred_lin_interv_iter2_test_accuracy,teacher_pred_lin_interv_iter2_test_accuracy
11,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/4b021dc5e467e73eb1e3e7e3d05c53aa71eb9d3872f958fa9358b1232be440ce,0.04946524064171123,0.05350362443907491,0.048462566844919786,0.03935105281325509,0.9756016042780749,0.4917155678287884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP2_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/5bb3597732cc4449b6a160a5cfe525a08a6b8250a797acde4782711f29928333,0.04428475935828877,0.05626510182947877,0.04361631016042781,0.03917846047635485,0.9762700534759359,0.4960303762512944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,FIGSRegressor,"[30, 40]","[125, 200]",[4],[0],200,30,4,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/5d6b25055da22674c553e5f92e521822d23fe79ea7620367599402bfb6108a84,0.9495320855614974,0.69278564031757,0.9428475935828877,0.479979288919572,0.97576871657754,0.5177770107007249,30.0,200.0,3.0,0.6753538142906454,0.6884708318950639,0.5203658957542285,0.4908526061442872,0.5441836382464619,0.5334829133586468,0.6477390403866068,0.6748360372799448,0.5731791508457025,0.5012081463583017,0.5812909906800138,0.5447014152571625,0.6394546082153952,0.6622367966862271,0.6197790818087677,0.5132896099413186,0.5954435623058336,0.5547117707973765,0.6717293752157404,0.479979288919572,0.5044874007594062,0.6622367966862271,0.48015188125647223,0.5044874007594062,0.6544701415257163,0.48032447359337244,0.49982740766309974
14,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Transformer1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,8,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/6353286b39bcbd9a3d3267049566a5b01fa81a443681ad0b9a75a49c1f17fe05,0.8564505347593583,0.5919917155678288,0.8532754010695187,0.433551950293407,0.9756016042780749,0.47531929582326543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP2_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,DecisionTreeRegressor,"[30, 40]","[125, 200]",[4],[0],1,1,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/66accdc02c0a5a24c3c4260c3e7100cb28944345ca5426eb386e9020021977c2,0.4475267379679144,0.32688988608905767,0.4445187165775401,0.2564722126337591,0.9762700534759359,0.4960303762512944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/6c6566f46ac19a704456b9ca5f6d204847500e35a2653bf3034ec383406b305b,0.5935828877005348,0.41646530894028305,0.5909090909090909,0.309285467725233,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,DecisionTreeRegressor,"[30, 40]","[125, 200]",[4],[0],1,1,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/6ce96ab4afc0aa1c3ba46f9093eaadb2f8e2fc3952f62b5a25511b59e304fa02,0.4095922459893048,0.2911632723507076,0.4074197860962567,0.2309285467725233,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP2_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/755d2c9431490f709221fd11c11709a144476c2692ca5e7776f641e2fdd3465f,0.6032754010695187,0.44269934414911977,0.6004344919786097,0.33379357956506733,0.9762700534759359,0.4960303762512944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/7ac2f98f4121fa3bff4e169b0e56a411e8b98a476f310c67afdea5fc082c62d6,0.642379679144385,0.4834311356575768,0.6395387700534759,0.3420780117362789,0.9756016042780749,0.4917155678287884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/9154b498281e72ab22213907d40e526db0ea23aee2d141fbaccdd89196f11425,0.0678475935828877,0.06523990334829134,0.06684491978609626,0.055747324818778046,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,XGBRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/a3edd3ddec6fa8de23c13118391d8a01d802c640d01292089874989fd7cd0e9d,0.9590574866310161,0.697790818087677,0.9545454545454546,0.5010355540214014,0.9756016042780749,0.4917155678287884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Transformer1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/a4052fd157cfb1a1fa1def739e0f991b71a7e35ffad451e8a9c3f2ba4ded7baf,0.04879679144385027,0.047980669658267174,0.04913101604278075,0.0360717984121505,0.9756016042780749,0.47531929582326543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,DecisionTreeRegressor,"[30, 40]","[125, 200]",[4],[0],1,1,8,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/ab305aede72acf5c892d5817af07b9ddc0e85df38843c73c0ea7fbebfb10c78c,0.5630013368983957,0.38867794269934414,0.5601604278074866,0.2854677252329997,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Transformer1_e500_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,FIGSRegressor,"[30, 40]","[125, 200]",[4],[0],200,30,4,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/aed5a12fc72925cb6f404a46175ab3878c042e09f6e6f18007081443a5c365df,0.8686497326203209,0.5859509837763204,0.8622994652406417,0.45495340006903695,0.9508689839572193,0.4922333448394891,30.0,200.0,3.0,0.5384880911287538,0.5588539868829824,0.49654815326199514,0.4603037625129444,0.5034518467380048,0.47911632723507075,0.5110459095616154,0.5253710735243355,0.5283051432516396,0.46617190196755265,0.5122540559199171,0.46668967897825336,0.4927511218501899,0.5079392474974112,0.567828788401795,0.4767000345184674,0.5167414566793235,0.4558163617535381,,,,,,,,,
25,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Transformer1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,FIGSRegressor,"[30, 40]","[125, 200]",[4],[0],250,40,4,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/bc7b74b2d07f8f6b25c1bf614c5d116eb3ecf7d2057d883748475985aac84ae3,0.9473596256684492,0.6617190196755264,0.945855614973262,0.4722126337590611,0.9756016042780749,0.47531929582326543,37.0,250.0,3.0,0.6101139109423541,0.6332412840869865,0.5134622022782188,0.4837763203313773,0.49309630652399034,0.4754918881601657,0.5547117707973765,0.5949257852951328,0.5471177079737659,0.4922333448394891,0.489299275112185,0.468588194684156,0.525025888850535,0.5626510182947877,0.5866413531239213,0.4984466689678978,0.49361408353469105,0.458577839143942,,,,,,,,,
26,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_MLP2_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,FIGSRegressor,"[30, 40]","[125, 200]",[4],[0],200,30,4,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/dbd63fc512dc29116aba98c52f204d789fc1b137b459147dabdc814f908844e9,0.9408422459893048,0.674318260269244,0.9371657754010695,0.49016223679668625,0.9762700534759359,0.4960303762512944,30.0,200.0,3.0,0.618570935450466,0.6496375560925095,0.5298584742837418,0.4970659302726959,0.5181221953745254,0.4937866758715913,0.5819813600276148,0.6206420434932689,0.5616154642733863,0.5037970314118053,0.5201933034173283,0.4944770452191923,0.5690369347600966,0.6061442871936487,0.609250949257853,0.5129444252675182,0.531411805315844,0.49965481532619954,,,,,,,,,
27,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Transformer1_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,DecisionTreeRegressor,"[30, 40]","[125, 200]",[4],[0],1,1,7,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/e855615e0333e9b413e549f85797211cb5606248abf5efc28efa7febdd2ddead,0.4540441176470588,0.3175698998964446,0.45187165775401067,0.26061442871936485,0.9756016042780749,0.47531929582326543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,RandomForestRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,8,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/e98174f4db8d8c61385dbdc644a094c998bbfea8b3e7cf22a3336350a007b32a,0.7150735294117647,0.5089748015188126,0.7118983957219251,0.38419054193993785,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds,travelingbirds/outputs/best_Joint0.01_Linear_model_1.pth,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/train.pkl,/home/mattyshen/ConceptBottleneck/CUB_processed/class_attr_data_10/test.pkl,regression,XGBRegressor,"[30, 40]","[125, 200]",[4],[0],1,30,3,accuracy,3,2,1,/home/mattyshen/DistillationEdit/results/distillation_travelingbirds/fed40a7d3bcbf5670cea48fc580b4501e8314cfbe44bec3aa2253b889b9537b7,0.9640708556149733,0.6867449085260614,0.9585561497326203,0.47687262685536763,0.97576871657754,0.5177770107007249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
