model,train_mse,test_mse
Linear Regression,0.34725862861186096,0.4398241365513153
XGBoost,0.004268188054430382,0.5019067585063833
MLP-1hidden,0.21866648139515535,0.5351411381123213
MLP-2hiddens,0.07945328380769723,0.5686956536526501
