model,train_mse,test_mse
Linear Regression,0.5510738529121476,0.5180293986534099
XGBoost,0.31922831499781656,0.5838994438394391
MLP-1hidden,0.526662454265006,0.5306618062938185
MLP-2hiddens,0.4104980697581125,0.5135449360690701
