model,train_mse,test_mse
Linear Regression,0.27310759502599585,0.2475105416750426
Transformer,0.2509905584156513,0.22685907781124115
MLP-1hidden,0.2368738960265156,0.24508886057151302
MLP-2hiddens,0.18488380902020268,0.21137634700018093
