,dataset_name,subsample_frac,seed,save_dir,binary_mapper_name,binary_mapper_frac,max_rules,max_trees,max_features,max_depth,n_estimators,pre_max_features,max_min_interaction_size,use_cache,cat_mappings,task_type,save_dir_unique,figs_kfold_val_r2,ftd_kfold_val_r2,figs_avg_kfold_val_r2,ftd_avg_kfold_val_r2,ftd_r2_score_train,ftd_r2_score_val,figs_r2_score_train,figs_r2_score_val,ridge_figs_decoup_r2_score_train,ridge_figs_decoup_r2_score_val,ridge_figs_inter_r2_score_train,ridge_figs_inter_r2_score_val,xgboost_r2_score_train,xgboost_r2_score_val,num_common_interactions,num_interactions,figs_max_interaction_size,ftd_max_interaction_size,figs_training_time,ftd_training_time
0,insurance,0.25,0,/home/mattyshen/interpretableDistillation/results/08_timed,figs_binary_mapper,0.0,30,5,1,3,5,0.25,5,1,"{'sex': {'female': 0, 'male': 1}, 'children': {'0': 0, '1': 1, '2': 2, '3': 3, '4': 4, '5': 5}, 'smoker': {'no': 0, 'yes': 1}, 'region': {'northeast': 0, 'northwest': 1, 'southeast': 2, 'southwest': 3}}",regression,/home/mattyshen/interpretableDistillation/results/08_timed/0611c84ddb9621d839f2c8527d9639b8bb633162ee6cf568b8bc5d626900004e,"[0.7259444698759628, 0.7878545660958046, 0.8418554501749149]","[0.7125518992911943, 0.8456460478085271, 0.815398767166669]",0.7852181620488942,0.7911989047554635,0.8427555605256035,0.8557794580293714,0.8905641921257237,0.8393235310671879,0.7561172332168193,0.7375366401980035,0.8909955683789074,0.8376862444991345,0.7895287265381936,0.7935660412883201,2,33,7,5,1.1816420555114746,1.4315364360809326
1,miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/08_timed,figs_binary_mapper,0.0,20,10,1,1,10,0.5,5,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/08_timed/0780a811d1d65d5c46b1d93c1f1af41b0e05a064c9f6c6722aacde7b49dbd4e7,"[0.7801854046734579, 0.6988836102491732, 0.748083724967989]","[0.7976773787543615, 0.7598778524660554, 0.8007883313221503]",0.7423842466302067,0.7861145208475224,0.8136198232817475,0.7816115835845994,0.7710597893916786,0.7194675350299449,0.725603161248298,0.7181110773030273,0.7778641288686893,0.730004351016835,0.6260292173941225,0.6003939725886445,1,26,4,4,7.794360399246216,69.95486736297607
2,abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/08_timed,figs_binary_mapper,0.0,20,5,1,2,5,0.5,5,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/08_timed/07ee1d726c7d6308cf76a6bb52814b21e2f20085d4f7048f2ecd68e0db04f36d,"[0.4078282131461306, 0.46668743748798713, 0.41080161744380417]","[0.42545048987921263, 0.46761068228422453, 0.4832571545195121]",0.4284390893593073,0.4587727755609831,0.5023123049572991,0.42605228849815835,0.5238085150527856,0.43441091196382187,0.5160281119628964,0.4398608793503729,0.5276342832115457,0.44354247547643233,0.19408750534057617,0.1875421404838562,0,24,6,5,2.1301774978637695,38.22514247894287
