dataset_name,subsample_frac,seed,save_dir,model_name,distiller_name,binary_mapper_name,binary_mapper_bit,binary_mapper_depth,binary_mapper_frac,max_depth,max_features,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,size_interactions,n_epochs,gpu,use_cache,cat_mappings,task_type,save_dir_unique,teacher_avg_kfold_val_r2,distiller_avg_kfold_val_r2,teacher_kfold_val_r2,distiller_kfold_val_r2,teacher_r2_score_train_true,teacher_r2_score_val_true,distiller_r2_score_train_true,distiller_r2_score_val_true,distiller_r2_score_train_teacher,distiller_r2_score_val_teacher
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,ft_distill,gmm_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/c4041c73a332093de2cabb9ec0849547297fde8ba25636d9a76265dbf769799e,0.21127031246821085,0.3046424267224311,"[0.1956479549407959, 0.1562926173210144, 0.28187036514282227]","[0.22698615071417294, 0.2952728788397887, 0.39166825061333155]",0.29287219047546387,0.16759628057479858,0.33548676262077703,0.29299004337040313,0.7937205338969295,0.7795946978933921
parkinsons,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,figs,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,"{'sex': {'0': 0, '1': 1}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/c41c579bdf1d596b01980014614cab1602fc516a7927d9d1eda9ed811772a712,0.21630342940350986,0.2315527341572695,"[0.2469252348706309, 0.24167475374227232, 0.16031029959762633]","[0.26698948063913597, 0.24554487890651233, 0.18212384292616024]",0.35180408147775677,0.307245149035119,0.3166630845324402,0.32724150192617274,0.5754033820751897,0.5576471314204613
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,ft_distill,gmm_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/c6b41a9bb64dede178454582549fa0cfc9ed361433a04abe9abccb56ec3a5b26,0.7863139584034423,0.7595278118278173,"[0.768982819060958, 0.7889660842480264, 0.8009929719013424]","[0.7417199779516266, 0.7657005933508256, 0.7711628641809996]",0.8105604205604441,0.7847109977140985,0.7937154663886924,0.7668701128719487,0.9224159413748942,0.9228538173655373
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,figs,gmm_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/cc3925500b25ddf61962e53d6ff5a40c533f663292aef0c6335fcb517b895804,0.7479514775871975,0.6869821962390893,"[0.7287738798220845, 0.7210249540182037, 0.7940555989213044]","[0.6541339747331293, 0.6969083164830224, 0.7099042975011159]",0.7895843607671268,0.7727790313546469,0.7485243753363491,0.7057930359313972,0.8924407964174459,0.8698514718870406
cpu_act,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,ft_distill,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/cd26dcdf4188cd209b305edfc2d434c3aca9a656a2d0e2a159ca91a20fa7de3b,0.8667654991149902,0.8576239662498852,"[0.8808839917182922, 0.904125988483429, 0.8152865171432495]","[0.8819035873207044, 0.8709607141788318, 0.8200075972501194]",0.9483252167701721,0.9398158192634583,0.9256962319142334,0.902854648899143,0.9560792883552884,0.9397056493230014
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,gmm_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/cdd61c472508d775a2fe8a3c6428598301814fb9b2d639237a5af2b11d7a1d0e,0.4718237614756693,0.4761483369490727,"[0.4183750338276112, 0.43641065955681135, 0.5606855910425854]","[0.41607831866444833, 0.47271970805104135, 0.5396469841317286]",0.4097479516497238,0.5070853753118769,0.3962940420256804,0.5010826245727842,0.9801217377819353,0.9820146826750628
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,figs,gmm_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/ce36a767a404fa43728fa118deb32b2f7f751d5d24b62e1ae5b1c284a2cda036,0.2868541677792867,0.26717951239499316,"[0.24094581604003906, 0.24665319919586182, 0.37296348810195923]","[0.2367720446894025, 0.21552002884168575, 0.3492464636538912]",0.2717651128768921,0.19889140129089355,0.274348876516612,0.23192164183076536,0.940677949029616,0.8948557147333042
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,gmm_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/cec487891b6e52767299041ec324fa4b3b8feea3d333e05091fab2c4b0bfad7d,0.3722402696162628,0.3801354539061513,"[0.3619071857523305, 0.3303361146256871, 0.4244775084707706]","[0.38330183791340344, 0.3149155848092535, 0.4421889389957968]",0.5831264479698828,0.6456559041378973,0.6119134322035652,0.6399401143152827,0.8824769324602815,0.8584227520184686
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,dt_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d0235322a32343d70ac4b9d79240d4103b3150991668d325467a3b63a151cce0,0.7546359460870194,0.7303780732420888,"[0.7870014949337788, 0.7007064470413608, 0.7761998962859187]","[0.7529777258092238, 0.7057449681554409, 0.732411525761602]",0.7913434236023461,0.7796672388409129,0.773402010180864,0.7392597616754781,0.9022340004192733,0.9020778565074323
airfoil,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,figs,gmm_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,"{'chord-length': {'0.0254': 0, '0.0508': 1, '0.1016': 2, '0.1524': 3, '0.2286': 4, '0.3048': 5}, 'free-stream-velocity': {'31.7': 0, '39.6': 1, '55.5': 2, '71.3': 3}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d028eecd98dcb6aba3cdf6ec1bb89000343267f79330258c4e26e473298e9a8f,0.337070183173463,0.30789906567916,"[0.03590463293736512, 0.48358417859809955, 0.49172173798492413]","[0.0019288296437586228, 0.4600824370005827, 0.46168593039313854]",0.6255031108393917,0.5737514235114206,0.6078486946849179,0.5519678961743448,0.9470451149985496,0.9278722626259157
parkinsons,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,dt_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'sex': {'0': 0, '1': 1}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d06c26f629068066e70dea82df051824686bb63846847ae642ba2c4df7a129e0,0.2181190114860488,0.21197394839556263,"[0.20143209960138864, 0.266208292066918, 0.1867166427898398]","[0.19681148832854523, 0.2570659783519259, 0.1820443785062168]",0.2736958559592414,0.2675457631048219,0.26990090277616974,0.26920432057378785,0.9062580848295065,0.8971593893922316
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,ft_distill,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,200,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d18c9de9b1144ade100869c3cbfdda1e046f16d03eac91c43770ac418e399f28,0.7914048175302844,0.7151457530617096,"[0.8142203809390455, 0.7684562745528386, 0.7915377970989688]","[0.7309190973073441, 0.6784352718589726, 0.7360828900188121]",0.8230007311217211,0.7943218818061388,0.7286140674257832,0.6807544990381902,0.8626017812474606,0.8471935377074699
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,gmm_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d25a6814c208d02899e376db65b2626ef5252806cd05030727db4a8964e516f4,0.43927538348596995,0.4262923130620601,"[0.41398674588677475, 0.2907454879573541, 0.6130939166137809]","[0.38222746329185786, 0.26347227997884815, 0.6331771959154744]",0.42592675092311827,0.49464985207122614,0.42635300330404446,0.5298483306668293,0.9594413679065562,0.9548610910524388
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,figs,dt_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d35c624f4c29fe2ec6f0d11017aea6533a902acb632098c4856274a969ef2a2b,0.2791226903597514,0.2790859853993089,"[0.3129083514213562, 0.23888301849365234, 0.2855767011642456]","[0.3106495968361973, 0.2363561590571327, 0.29025220030459675]",0.35246598720550537,0.31717807054519653,0.35217455150652144,0.3176435381062316,0.9970885974445742,0.9950815533235404
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,resnet,figs,gmm_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d659f13b0cc38449e78a91788ae14e9a5f88af69946d363458af3a6c74ca29a6,0.3598102402234072,0.2641495189531546,"[0.21720928840149856, 0.4079362709954407, 0.45428516127328233]","[0.18257817272877386, 0.39465149468874283, 0.21521888944194711]",0.5568222704438757,0.6297359725532838,0.5342586837645293,0.5843365212372924,0.9182100958386782,0.8766561886816968
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,figs,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d6befb71bda0a33a9e8a608075da839d411b006fab87da61ad27c43cf024d0e8,0.26849281787872314,0.2622430909585858,"[0.26788830757141113, 0.18553835153579712, 0.3520517945289612]","[0.2708283963756303, 0.16829527420729729, 0.3476056022928298]",0.3544500470161438,0.3225342631340027,0.3476770706397425,0.31945396034422857,0.9862239786207619,0.9806911004643846
powerplant,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl,ft_transformer,ft_distill,gmm_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/tabdl/d711f1ffb2dea36e33811094bc15f1251225942a3dabcaf8310db31ce768297d,0.9131208225807809,0.9074943315243357,"[0.9156156889242544, 0.9144238811366, 0.9093228976814884]","[0.9124647924164279, 0.9081474793157351, 0.9018707228408438]",0.9178796809052289,0.9197932337222201,0.9052042650925687,0.9082116539798721,0.9864482206390889,0.9851221762030447
