,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7553193159171319,0.6278194097009102,0.6310585489184914,266.6689157485962,5489,1396
1,"(bit, bit, train)",0.7444007183994055,0.6665993990564643,0.6724803810274207,113.82548141479492,5489,758
2,"(bit, orig, val)",0.6463446203332063,0.6989753469095745,0.6686874897516112,39.150607109069824,5489,438
3,"(bit, bit, val)",0.6971586306879282,0.6828708972737614,0.6710230007641665,19.75481629371643,5489,766
4,"(bit, orig, train+val)",0.7497869647639918,0.7196437201271169,0.6802554450944682,486.5324327945709,5489,1435
5,"(bit, bit, train+val)",0.7432195072217398,0.6806701243779916,0.6819932572143261,189.25470614433289,5489,846
6,FTTransformer,0.8880301191602828,0.8109461291858379,0.8094029416822917,-1.0,-1,-1
7,FTTransformer bit,0.7969071889033738,0.7009940836269339,0.7022076306463081,-1.0,-1,-1
