,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.8341730265523479,0.8255066640366951,0.8019146134804445,142.48168206214905,2325,776
1,"(bit, bit, train)",0.9811844937855188,0.9779167158245614,0.9790486305489414,43.201531648635864,2325,425
2,"(bit, orig, val)",0.7641758874610864,0.8205333061497097,0.7652479891987056,16.984548091888428,2325,296
3,"(bit, bit, val)",0.9724621558364559,0.9831300181218077,0.9742854290315677,7.4561779499053955,2325,388
4,"(bit, orig, train+val)",0.8301161638819613,0.8462176259918319,0.8077725685189279,98.76170253753662,2325,807
5,"(bit, bit, train+val)",0.9808224655081652,0.9804049858644501,0.9798010617285772,38.90527701377869,2325,396
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
