,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7546074068544433,0.6384038766841372,0.6351666358924658,310.4104928970337,5489,1305
1,"(bit, bit, train)",0.7386712801581554,0.6858481576086587,0.6885915689471238,121.17791557312012,5489,634
2,"(bit, orig, val)",0.6509719489666812,0.665105104603747,0.6193169077314569,42.109411001205444,5489,400
3,"(bit, bit, val)",0.703973885624964,0.6827282707969373,0.6715902484813194,15.049514532089233,5489,606
4,"(bit, orig, train+val)",0.7494089950721381,0.6914615351106727,0.6650136860580284,444.5068657398224,5489,1375
5,"(bit, bit, train+val)",0.7380879235528672,0.6827219920423075,0.685296351738506,176.9357032775879,5489,696
6,FTTransformer,0.9059521843891614,0.807429079974323,0.8122637628168341,-1.0,-1,-1
7,FTTransformer bit,0.7766863095722949,0.7064623582908297,0.711830431949233,-1.0,-1,-1
