model,train_mse,test_mse
Linear Regression,0.45528498745164925,0.43669481771794544
XGBoost,0.05668939510593995,0.5838502883478668
MLP-1hidden,0.594946878743885,0.6387689994980942
MLP-2hiddens,0.19188782528145376,0.4972922087356134
