,dataset_name,model_name,featurizer_name,featurizer_frac,depth,bit,max_depth,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,r2_score_train_true,r2_score_val_true
1392,powerplant,figs,no_featurizer,0.7,2,0,1,50,30,l0l2,0.0,l0l2,0.0,0.9463872984592504,0.935797685155411
1394,insurance,resnet,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6614350605940187,0.5828886659101042
1401,insurance,random_forest,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8702279598545921,0.8574593775414519
1410,parkinsons,figs,no_featurizer,0.3,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.910702812933035,0.880458942378799
1412,cpu_act,rf_plus,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9735934384241048,0.9743252321291316
1414,mercedes,random_forest,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.615458305535474,0.6073033146581965
1416,powerplant,figs,no_featurizer,0.7,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.9489297159891148,0.9306029994682877
1418,cpu_act,rf_plus,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9778410716358829,0.9775141962385957
1420,parkinsons,rf_plus,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6969280453287832,0.6907002349288706
1421,concrete,ft_transformer,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6786325911963677,0.7267918348485931
1422,transaction,xgboost,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7720658778396053,0.09543169428591836
1424,allstate,random_forest,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.40639402698086646,0.37769673826991046
1425,abalone,rf_plus,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.5775839266594216,0.525124411776533
1427,transaction,rf_plus,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.3025910490461924,0.17267748277562855
1428,insurance,figs,no_featurizer,0.7,3,1,1,60,30,l0l2,0.0,l0l2,0.0,0.9382219883222768,0.7626519008419391
1430,insurance,ft_transformer,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6737914350125683,0.6801864451512574
1434,qsar,resnet,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,-0.15326547622680664,-0.13209950923919678
1435,cpu_act,figs,no_featurizer,0.7,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9834478214681828,0.9772517549817435
1436,miami_housing,random_forest,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8614219233159424,0.8229842416123193
1439,cpu_act,resnet,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9589805603027344,0.9541656374931335
1440,cpu_act,random_forest,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9696849727191653,0.9683093275612255
1442,airfoil,figs,no_featurizer,0.3,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.878110408670732,0.8216055724203872
1444,allstate,rf_plus,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.5058235911955635,0.4774886861613006
1446,cpu_act,ft_transformer,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9723461866378784,0.9720539450645447
1448,transaction,random_forest,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.29401459330718793,0.16080341107216312
1449,parkinsons,random_forest,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6897334803827335,0.6808964439874534
1453,transaction,figs,no_featurizer,0.7,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.5757651524948983,-0.23760365666892813
1455,insurance,rf_plus,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8652096651188181,0.8597207715760915
1457,allstate,resnet,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.48902543962041245,0.4537789693911478
1459,cpu_act,rf_plus,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9778410716358829,0.9775141962385957
1460,ca_housing,xgboost,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9217593746029684,0.8249770511410662
1461,ca_housing,resnet,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7447663442131569,0.7190052043560213
1462,ca_housing,random_forest,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6883296904110253,0.639150420627462
1463,abalone,xgboost,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9266168475151062,0.456440269947052
1464,mercedes,figs,no_featurizer,0.7,3,1,1,50,30,l0l2,0.0,l0l2,0.0,0.6803199331088209,0.41227546837630746
1471,cpu_act,resnet,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9528543949127197,0.9497114419937134
1472,miami_housing,rf_plus,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8815969095087353,0.8539525854864933
1474,parkinsons,random_forest,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6897334803827335,0.6808964439874534
1475,airfoil,xgboost,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9926923192960407,0.9249019377591806
1480,cpu_act,ft_transformer,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9750910401344299,0.9753227829933167
1481,mercedes,figs,no_featurizer,0.3,3,1,1,50,30,l0l2,0.0,l0l2,0.0,0.6803199331088209,0.41227546837630746
1484,ca_housing,xgboost,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8894601422308204,0.8194929479202618
1485,cpu_act,xgboost,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.993998646736145,0.9837870597839355
1487,concrete,resnet,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6631755710684066,0.636846410665072
1489,mercedes,rf_plus,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6133130454196327,0.6179413002783236
1496,parkinsons,resnet,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.813922312298764,0.80717530973009
1498,allstate,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.5525898765191923,0.5068417775055192
1504,concrete,resnet,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6213301123803537,0.6278968734884722
1505,abalone,xgboost,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8615106344223022,0.5020395517349243
1506,cpu_act,figs,no_featurizer,0.7,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.9834478214681828,0.9772517549817435
1510,airfoil,random_forest,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.7886828275770157,0.7112848350218881
1511,airfoil,random_forest,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7094412788014774,0.6349717077351409
1515,abalone,resnet,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.46043115854263306,0.41571885347366333
1516,concrete,resnet,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6604844297872536,0.6468963851862246
1517,allstate,rf_plus,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.4622236885627007,0.43817220636311227
1518,insurance,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9717040265761164,0.8172730228346239
1519,qsar,resnet,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,-0.022269129753112793,-0.03840148448944092
1521,airfoil,rf_plus,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7080848399039603,0.6417466299417267
1524,concrete,ft_transformer,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6864837918151621,0.7201162256533298
1525,powerplant,resnet,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9180551522353855,0.9181708194383046
1527,abalone,random_forest,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6022501521477137,0.511863952843931
1528,abalone,xgboost,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8615106344223022,0.5020395517349243
1531,parkinsons,random_forest,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.5802246042418164,0.5739815856121839
1533,insurance,figs,no_featurizer,0.3,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9382219883222768,0.7626519008419391
1537,cpu_act,resnet,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.958405613899231,0.9559280276298523
1538,cpu_act,xgboost,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9962639808654785,0.9834569692611694
1539,powerplant,resnet,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.926551104785459,0.9272998511232571
1540,miami_housing,random_forest,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8094291260568247,0.7765100785814513
1541,parkinsons,figs,no_featurizer,0.7,3,1,1,60,30,l0l2,0.0,l0l2,0.0,0.910702812933035,0.880458942378799
1545,allstate,figs,no_featurizer,0.3,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.5525898765191923,0.5068417775055192
1547,ca_housing,rf_plus,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6792419152472262,0.6377313820604835
1551,parkinsons,figs,no_featurizer,0.7,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.8974051152809523,0.8705647198511582
1555,qsar,xgboost,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9215621948242188,0.42265254259109497
