,Model,Train Acc,Val Acc,Test Acc,Train Time,Total Num Features,Avg Num Selected Features
0,0.9948222298929927,,0.994370308590492,0.9974958263772955,14257.567565441132,6329,32.72
1,0.9844666896789782,,0.9837364470391994,0.989983305509182,1098.4027910232544,6329,26.53
2,0.9948222298929927,,0.994370308590492,0.9974958263772955,21170.87403011322,6329,34.03
3,ResNet18 CUB,0.9059633027522935,0.8973288814691152,0.6164998274076631,-1.0,-1,-1.0
