,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bin, orig, train)",0.7061041593982652,0.6493052444674774,0.6308338841543123,94.13341617584229,2325,780
1,"(bin, bin, train)",0.7008090710948764,0.6612827076194656,0.6398616358103328,38.11393094062805,2325,555
2,"(bin, orig, val)",0.6296298171611352,0.6276363080552014,0.5733194834078033,8.01039719581604,2325,264
3,"(bin, bin, val)",0.6897274506269957,0.6720300693279904,0.6383892026420062,10.147428035736084,2325,590
4,"(bin, orig, train+val)",0.7012507597894213,0.6639147078171135,0.6312196374987797,94.06256771087646,2325,757
5,"(bin, bin, train+val)",0.7000738803390993,0.6660019089674143,0.6421209369019631,53.0262815952301,2325,573
6,FTTransformer,0.9088936666715984,0.8084447989281378,0.810800291609443,-1.0,-1,-1
7,FTTransformer bin,0.7519293910792917,0.6919660123789815,0.6729797835351805,-1.0,-1,-1
