,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.8165411776362146,0.8139713827496305,0.7992685882164371,103.06187105178833,2325,780
1,"(bit, bit, train)",0.798297176428683,0.8081202888862895,0.7879216875811175,36.40705394744873,2325,520
2,"(bit, orig, val)",0.7427870405935437,0.8062776126009938,0.754840164226887,7.589812517166138,2325,264
3,"(bit, bit, val)",0.788321368478929,0.8160986373585575,0.786967426674168,6.800414562225342,2325,494
4,"(bit, orig, train+val)",0.8122991396284818,0.8338110413813815,0.8027644867891284,93.33542776107788,2325,757
5,"(bit, bit, train+val)",0.7974336601372582,0.8113636036655693,0.7898713661488339,43.65486240386963,2325,505
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
