,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.8654259486260583,0.803673622423008,0.7973057923154558,218.92531895637512,5489,1379
1,"(bit, bit, train)",0.8313493436013641,0.8151032165780058,0.8070321421950674,72.58487606048584,5489,791
2,"(bit, orig, val)",0.7564385096205866,0.8459201058418667,0.7926485743234912,20.900964736938477,5489,391
3,"(bit, bit, val)",0.7822671105801697,0.8226851876559027,0.7965306998594268,11.85484004020691,5489,757
4,"(bit, orig, train+val)",0.8597967217466509,0.8674181875944957,0.8303299025907267,314.45132660865784,5489,1309
5,"(bit, bit, train+val)",0.8308138247348559,0.821960593504428,0.81020000292953,99.73999309539795,5489,831
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
