,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.7599742119431885,0.6378397539676441,0.6365901066907466,279.13806223869324,5489,1379
1,"(bit, bit, train)",0.7522873829071737,0.682538791866885,0.6823764573480355,83.2835898399353,5489,791
2,"(bit, orig, val)",0.6554945789141624,0.6724185368341167,0.6286556229987718,22.121397972106934,5489,391
3,"(bit, bit, val)",0.6987491384571968,0.6856439261456044,0.6659844766323648,11.093416452407837,5489,757
4,"(bit, orig, train+val)",0.7544614441850308,0.6948217677131441,0.670884718272542,566.3521683216095,5489,1309
5,"(bit, bit, train+val)",0.7514860801178965,0.6860645031912278,0.6831098866132511,105.14300918579102,5489,831
6,FTTransformer,0.9088936666715984,0.8084447989281378,0.810800291609443,-1.0,-1,-1
7,FTTransformer bit,0.8053411827884841,0.7036422238844067,0.704928451017208,-1.0,-1,-1
