Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bit, orig, train)",0.821 (0.018),0.808 (0.021),0.796 (0.017),171.718 (36.053),2325.000 (0.000),773.200 (38.364)
"(bit, bit, train)",0.977 (0.004),0.975 (0.004),0.974 (0.006),66.290 (26.486),2325.000 (0.000),510.400 (64.627)
"(bit, orig, val)",0.748 (0.024),0.807 (0.014),0.755 (0.016),22.071 (6.334),2325.000 (0.000),269.000 (20.445)
"(bit, bit, val)",0.963 (0.008),0.982 (0.001),0.968 (0.007),11.926 (5.196),2325.000 (0.000),473.800 (68.239)
"(bit, orig, train+val)",0.817 (0.018),0.832 (0.015),0.803 (0.014),97.814 (11.442),2325.000 (0.000),748.600 (43.939)
"(bit, bit, train+val)",0.976 (0.004),0.978 (0.003),0.975 (0.005),42.461 (3.655),2325.000 (0.000),503.600 (81.037)
FTTransformer,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
FTTransformer bit,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
