model,train_mse,test_mse
Linear Regression,0.3328254269667399,0.2705158896782533
XGBoost,0.12485238759054439,0.2676813573354284
MLP-1hidden,0.29675931671072886,0.26828615617056567
MLP-2hiddens,0.28272545679350497,0.2690571965917104
