Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bin, orig, train)",0.848 (0.014),0.827 (0.014),0.816 (0.012),176.812 (16.187),26606.200 (560.400),1101.000 (12.884)
"(bin, bin, train)",0.982 (0.003),0.981 (0.002),0.981 (0.003),85.587 (8.759),26606.200 (560.400),538.800 (83.949)
"(bin, orig, val)",0.762 (0.022),0.828 (0.013),0.767 (0.010),40.860 (6.831),26606.200 (560.400),345.600 (31.740)
"(bin, bin, val)",0.972 (0.007),0.987 (0.001),0.974 (0.006),23.431 (5.054),26606.200 (560.400),518.200 (51.662)
"(bin, orig, train+val)",0.842 (0.015),0.856 (0.011),0.819 (0.011),130.937 (14.252),26606.200 (560.400),1089.000 (25.251)
"(bin, bin, train+val)",0.982 (0.004),0.984 (0.001),0.980 (0.003),73.839 (10.602),26606.200 (560.400),529.200 (83.103)
FTTransformer,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
FTTransformer bin,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
