Model,Train R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bin3, true, train)",0.714 (0.006),0.646 (0.016),118.719 (9.568),26606.200 (560.400),1038.600 (114.753)
"(bit3, true, train)",0.680 (0.004),0.621 (0.016),14.178 (1.713),2325.000 (0.000),757.600 (90.356)
"(bit4, true, train)",0.757 (0.006),0.541 (0.058),35.888 (2.858),5489.000 (0.000),1530.400 (84.056)
