Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bit, orig, train)",0.874 (0.009),0.819 (0.025),0.812 (0.026),305.785 (49.992),5489.000 (0.000),1374.800 (105.954)
"(bit, bit, train)",0.975 (0.003),0.966 (0.006),0.967 (0.006),115.362 (5.136),5489.000 (0.000),700.400 (50.733)
"(bit, orig, val)",0.772 (0.017),0.857 (0.009),0.785 (0.021),39.281 (2.950),5489.000 (0.000),399.800 (35.622)
"(bit, bit, val)",0.942 (0.013),0.982 (0.001),0.957 (0.005),15.085 (2.629),5489.000 (0.000),659.200 (59.844)
"(bit, orig, train+val)",0.869 (0.010),0.875 (0.008),0.834 (0.016),410.282 (53.741),5489.000 (0.000),1375.400 (109.275)
"(bit, bit, train+val)",0.974 (0.003),0.976 (0.003),0.971 (0.004),170.869 (16.601),5489.000 (0.000),732.800 (64.605)
FTTransformer,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
FTTransformer bit,1.000 (0.000),1.000 (0.000),1.000 (0.000),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
