Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bit, orig, train)",0.748 (0.014),0.661 (0.024),0.660 (0.025),305.785 (49.992),5489.000 (0.000),1374.800 (105.954)
"(bit, bit, train)",0.735 (0.008),0.686 (0.015),0.688 (0.015),115.362 (5.136),5489.000 (0.000),700.400 (50.733)
"(bit, orig, val)",0.644 (0.024),0.687 (0.022),0.634 (0.021),39.281 (2.950),5489.000 (0.000),399.800 (35.622)
"(bit, bit, val)",0.700 (0.006),0.694 (0.015),0.673 (0.008),15.085 (2.629),5489.000 (0.000),659.200 (59.844)
"(bit, orig, train+val)",0.742 (0.015),0.711 (0.016),0.682 (0.012),410.282 (53.741),5489.000 (0.000),1375.400 (109.275)
"(bit, bit, train+val)",0.733 (0.008),0.692 (0.014),0.690 (0.012),170.869 (16.601),5489.000 (0.000),732.800 (64.605)
FTTransformer,0.891 (0.017),0.812 (0.005),0.813 (0.002),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
FTTransformer bit,0.780 (0.012),0.712 (0.013),0.715 (0.011),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
