Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
"(bin, orig, train)",0.717 (0.013),0.665 (0.019),0.655 (0.011),176.812 (16.187),26606.200 (560.400),1101.000 (12.884)
"(bin, bin, train)",0.694 (0.014),0.671 (0.004),0.658 (0.019),85.587 (8.759),26606.200 (560.400),538.800 (83.949)
"(bin, orig, val)",0.626 (0.015),0.656 (0.015),0.603 (0.010),40.860 (6.831),26606.200 (560.400),345.600 (31.740)
"(bin, bin, val)",0.681 (0.013),0.675 (0.006),0.651 (0.019),23.431 (5.054),26606.200 (560.400),518.200 (51.662)
"(bin, orig, train+val)",0.711 (0.012),0.685 (0.016),0.659 (0.010),130.937 (14.252),26606.200 (560.400),1089.000 (25.251)
"(bin, bin, train+val)",0.693 (0.014),0.673 (0.004),0.658 (0.019),73.839 (10.602),26606.200 (560.400),529.200 (83.103)
FTTransformer,0.891 (0.017),0.812 (0.005),0.813 (0.002),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
FTTransformer bin,0.731 (0.019),0.687 (0.005),0.677 (0.016),-1.000 (0.000),-1.000 (0.000),-1.000 (0.000)
