model,train_mse,test_mse
Linear Regression,0.26589694736160396,0.23189393647215564
XGBoost,0.07880419462311765,0.271340847969502
MLP-1hidden,0.23739627587821635,0.2522006482307569
MLP-2hiddens,0.10200517586826971,0.30208398183316515
