,Train Acc,Val Acc,Test Acc,Model,Train Time,Total Num Features,Num Selected Features
0,0.9070058381984988,0.8981636060100167,0.6194338971349672,"(concept, resnet, train)",14227.86911892891,200,[185  15  15 ...   0   0   0]
1,0.9015846538782318,0.8981636060100167,0.6182257507766655,"(concept, resnet, val)",1068.5695433616638,200,[196  15  13 ...   0   0   1]
2,0.9070058381984988,0.8981636060100167,0.6194338971349672,"(concept, resnet, tv)",22068.385404586792,200,[187  14  16 ...   0   0   2]
3,ResNet18 CUB,0.9059633027522935,0.8973288814691152,0.6164998274076631,-1.0,-1,-1
