,Train Acc,Val Acc,Test Acc,Model,Train Time,Total Num Features,Num Selected Features
0,0.994370308590492,0.9974958263772955,0.9948222298929927,"(concept, resnet, train)",14227.86911892891,200,[185  15  15 ...   0   0   0]
1,0.9837364470391994,0.989983305509182,0.9844666896789782,"(concept, resnet, val)",1068.5695433616638,200,[196  15  13 ...   0   0   1]
2,0.994370308590492,0.9974958263772955,0.9948222298929927,"(concept, resnet, tv)",22068.385404586792,200,[187  14  16 ...   0   0   2]
3,ResNet18 CUB,1.0,1.0,1.0,-1.0,-1,-1
