,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.865,0.804,0.797,245.88985466957092,5489,1379
1,"(bit, bit, train)",0.971,0.956,0.959,78.61624312400818,5489,791
2,"(bit, orig, val)",0.756,0.846,0.793,20.952094793319702,5489,391
3,"(bit, bit, val)",0.901,0.98,0.954,11.36934494972229,5489,757
4,"(bit, orig, train+val)",0.86,0.867,0.83,382.6652121543884,5489,1309
5,"(bit, bit, train+val)",0.971,0.971,0.968,111.67707800865173,5489,831
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
