,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.76,0.638,0.637,245.88985466957092,5489,1379
1,"(bit, bit, train)",0.752,0.683,0.682,78.61624312400818,5489,791
2,"(bit, orig, val)",0.655,0.672,0.629,20.952094793319702,5489,391
3,"(bit, bit, val)",0.699,0.686,0.666,11.36934494972229,5489,757
4,"(bit, orig, train+val)",0.754,0.695,0.671,382.6652121543884,5489,1309
5,"(bit, bit, train+val)",0.751,0.686,0.683,111.67707800865173,5489,831
6,FTTransformer,0.909,0.808,0.811,-1.0,-1,-1
7,FTTransformer bit,0.805,0.704,0.705,-1.0,-1,-1
