,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bin, orig, train)",0.847,0.832,0.817,114.78038930892944,26326,1194
1,"(bin, bin, train)",0.983,0.978,0.98,80.31857633590698,26326,678
2,"(bin, orig, val)",0.759,0.842,0.774,23.652737855911255,26326,391
3,"(bin, bin, val)",0.969,0.987,0.973,19.38186550140381,26326,656
4,"(bin, orig, train+val)",0.841,0.861,0.822,131.01206612586975,26326,1170
5,"(bin, bin, train+val)",0.983,0.983,0.981,71.2135260105133,26326,689
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bin,1.0,1.0,1.0,-1.0,-1,-1
