,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bin, orig, train)",0.736,0.666,0.649,114.78038930892944,26326,1194
1,"(bin, bin, train)",0.718,0.679,0.656,80.31857633590698,26326,678
2,"(bin, orig, val)",0.645,0.663,0.593,23.652737855911255,26326,391
3,"(bin, bin, val)",0.704,0.685,0.655,19.38186550140381,26326,656
4,"(bin, orig, train+val)",0.73,0.689,0.652,131.01206612586975,26326,1170
5,"(bin, bin, train+val)",0.718,0.684,0.658,71.2135260105133,26326,689
6,FTTransformer,0.909,0.808,0.811,-1.0,-1,-1
7,FTTransformer bin,0.752,0.692,0.673,-1.0,-1,-1
