,Model,Train R2,Val R2,Test R2,Train Time,Total Num Features,Num Selected Features
0,"(bit, orig, train)",0.817,0.814,0.799,99.67338681221008,2325,780
1,"(bit, bit, train)",0.977,0.973,0.973,34.387042760849,2325,520
2,"(bit, orig, val)",0.743,0.806,0.755,9.667004346847534,2325,264
3,"(bit, bit, val)",0.964,0.981,0.967,9.064375638961792,2325,494
4,"(bit, orig, train+val)",0.812,0.834,0.803,87.49799799919128,2325,757
5,"(bit, bit, train+val)",0.976,0.976,0.974,37.822781801223755,2325,505
6,FTTransformer,1.0,1.0,1.0,-1.0,-1,-1
7,FTTransformer bit,1.0,1.0,1.0,-1.0,-1,-1
