model,train_mse,test_mse
Linear Regression,0.29887315500744605,0.37302266540445755
XGBoost,0.017457034835332196,0.4270516108676262
MLP-1hidden,0.2738986152108488,0.38840699091277253
MLP-2hiddens,0.12101973519663972,0.4248212688422036
